table with row headers in column A and column headers in rows 3 through 4,,,,,,,,,,
"Table 4: Annual Estimates of the Population for Incorporated Places in New York, Listed Alphabetically: April 1, 2000 to July 1, 2007",,,,,,,,,,
Geographic Area,Population Estimates,,,,,,,,"April 1, 2000",
,"July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
Adams village,"1,674","1,680","1,667","1,639","1,639","1,631","1,623","1,620","1,624","1,624"
Addison village,"1,722","1,730","1,744","1,754","1,769","1,788","1,796","1,797","1,797","1,797"
Afton village,817,818,819,823,826,826,827,835,836,836
Airmont village,"8,345","8,386","8,381","8,401","8,379","8,221","7,862","7,835","7,799","7,799"
Akron village,"2,985","3,014","3,051","3,083","3,028","3,054","3,078","3,084","3,085","3,085"
Albany city,"94,172","94,603","94,407","94,468","94,575","94,114","94,336","94,335","94,301","95,658"
Albion village,"5,596","5,639","5,687","5,765","5,778","5,802","5,848","5,957","5,992","7,438"
Alden village,"2,549","2,573","2,599","2,626","2,649","2,628","2,646","2,662","2,666","2,666"
Alexander village,487,489,494,499,503,503,494,484,481,481
Alexandria Bay village,"1,106","1,110","1,103","1,085","1,085","1,080","1,086","1,085","1,088","1,088"
Alfred village,"4,855","4,858","4,857","5,021","4,698","4,576","4,417","4,051","3,954","3,954"
Allegany village,"1,776","1,787","1,808","1,813","1,832","1,843","1,853","1,876","1,883","1,883"
Almond village,436,438,441,445,448,451,455,459,461,461
Altamont village,"1,713","1,719","1,726","1,738","1,744","1,744","1,743","1,754","1,757","1,737"
Altmar village,350,352,354,358,360,354,348,351,351,351
Ames village,166,166,166,167,169,169,171,173,173,173
Amityville village,"9,269","9,336","9,414","9,489","9,483","9,504","9,474","9,451","9,441","9,441"
Amsterdam city,"17,572","17,647","17,660","17,763","17,891","17,966","18,145","18,319","18,355","18,355"
Andover village,"1,014","1,017","1,024","1,036","1,043","1,047","1,058","1,068","1,073","1,073"
Angelica village,858,859,867,876,882,886,895,900,903,903
Angola village,"2,146","2,162","2,182","2,204","2,218","2,230","2,246","2,262","2,266","2,266"
Antwerp village,734,737,732,719,722,719,714,714,716,716
